station_id,sample_in_run,t0_unix,t4_unix,end_to_end_latency_s,run_min_latency_s,run_max_latency_s,global_min_latency_s,global_max_latency_s
Station_01,57,1784277904.565256,1784277904.588076,0.022820,0.022129,0.361764,0.022129,0.361764
Station_01,58,1784277924.518042,1784277924.540354,0.022312,0.022129,0.361764,0.022129,0.361764
Station_01,59,1784277944.543358,1784277944.566974,0.023617,0.022129,0.361764,0.022129,0.361764
Station_01,60,1784277964.535591,1784277964.559218,0.023627,0.022129,0.361764,0.022129,0.361764
Station_01,61,1784277984.547001,1784277984.570094,0.023093,0.022129,0.361764,0.022129,0.361764
Station_01,62,1784278004.522142,1784278004.543760,0.021618,0.021618,0.361764,0.021618,0.361764
Station_01,63,1784278024.567357,1784278024.591038,0.023681,0.021618,0.361764,0.021618,0.361764
Station_01,64,1784278044.511677,1784278044.535549,0.023872,0.021618,0.361764,0.021618,0.361764
Station_01,65,1784278064.531596,1784278064.554735,0.023139,0.021618,0.361764,0.021618,0.361764
Station_01,66,1784278084.567195,1784278084.591152,0.023957,0.021618,0.361764,0.021618,0.361764
Station_01,67,1784278104.544491,1784278104.568604,0.024113,0.021618,0.361764,0.021618,0.361764
Station_01,68,1784278124.528115,1784278124.551056,0.022941,0.021618,0.361764,0.021618,0.361764
Station_01,69,1784278144.547102,1784278144.573112,0.026010,0.021618,0.361764,0.021618,0.361764
Station_01,70,1784278164.529416,1784278164.552235,0.022819,0.021618,0.361764,0.021618,0.361764
Station_01,71,1784278184.531793,1784278184.555284,0.023491,0.021618,0.361764,0.021618,0.361764
Station_01,72,1784278204.567564,1784278204.589474,0.021910,0.021618,0.361764,0.021618,0.361764
Station_01,73,1784278224.545369,1784278224.568480,0.023111,0.021618,0.361764,0.021618,0.361764
Station_01,74,1784278244.556628,1784278244.579946,0.023318,0.021618,0.361764,0.021618,0.361764
Station_01,75,1784278264.542958,1784278264.565836,0.022878,0.021618,0.361764,0.021618,0.361764
Station_01,76,1784278284.525326,1784278284.546940,0.021613,0.021613,0.361764,0.021613,0.361764
Station_01,77,1784278304.552718,1784278304.575388,0.022670,0.021613,0.361764,0.021613,0.361764
Station_01,78,1784278324.552227,1784278324.573879,0.021652,0.021613,0.361764,0.021613,0.361764
Station_01,79,1784278344.528604,1784278344.550282,0.021679,0.021613,0.361764,0.021613,0.361764
Station_01,80,1784278364.548928,1784278364.572251,0.023323,0.021613,0.361764,0.021613,0.361764
Station_01,81,1784278384.517449,1784278384.540031,0.022583,0.021613,0.361764,0.021613,0.361764
Station_01,82,1784278404.549234,1784278404.571441,0.022207,0.021613,0.361764,0.021613,0.361764
Station_01,83,1784278424.533575,1784278424.556074,0.022499,0.021613,0.361764,0.021613,0.361764
Station_01,84,1784278444.555063,1784278444.578619,0.023556,0.021613,0.361764,0.021613,0.361764
Station_01,85,1784278464.522984,1784278464.547221,0.024238,0.021613,0.361764,0.021613,0.361764
Station_01,86,1784278484.550680,1784278484.574365,0.023685,0.021613,0.361764,0.021613,0.361764
Station_01,87,1784278504.571563,1784278504.594485,0.022922,0.021613,0.361764,0.021613,0.361764
Station_01,88,1784278524.536369,1784278524.559690,0.023320,0.021613,0.361764,0.021613,0.361764
Station_01,89,1784278544.553019,1784278544.575480,0.022461,0.021613,0.361764,0.021613,0.361764
Station_01,90,1784278564.566107,1784278564.588420,0.022314,0.021613,0.361764,0.021613,0.361764
